array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
7000,openmpMergeSortIterative,6,1,1048576,461255.7
7000,parallelMergeSortIterative,6,1,1048576,5434830.56
7000,tholderMergeSortIterative,6,1,1048576,11007991.85
7000,serialMergeSortIterative,6,1,1048576,394.86
10000,serialMergeSort,1,0,0,1509111.18
10000,parallelMergeSort,6,1,1048576,1273313.17
10000,openmpMergeSort,6,1,1048576,725607.81
10000,openmpMergeSortIterative,6,1,1048576,972970.44
10000,parallelMergeSortIterative,6,1,1048576,3649994.55
10000,tholderMergeSortIterative,6,1,1048576,7811314.17
10000,serialMergeSortIterative,6,1,1048576,439.32
