size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
1	0.009933	0.000000	0.000000	0.000000	0.000000
3	0.009936	0.017648	0.000159	0.000131	0.000103
5	0.009947	0.025086	0.000287	0.000176	0.000123
7	0.014801	0.026869	0.000412	0.000164	0.000119
10	0.017663	0.032687	0.000558	0.000301	0.000166
15	0.011437	0.032458	0.000792	0.000404	0.000198
20	0.015119	0.040196	0.001012	0.000589	0.000288
25	0.015694	0.040001	0.001331	0.000615	0.000274
30	0.015444	0.039947	0.001574	0.000745	0.000260
