size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
50	0.000788	0.000488	0.000909	0.001136	0.000379
100	0.000669	0.000450	0.000844	0.001590	0.000448
150	0.000664	0.000451	0.000852	0.001804	0.000673
250	0.000671	0.000439	0.000856	0.002474	0.000510
500	0.000668	0.000458	0.000857	0.002635	0.001069
750	0.000688	0.000474	0.000858	0.003106	0.001278
1000	0.000676	0.000468	0.000872	0.003589	0.000620
1500	0.000683	0.000483	0.000857	0.003092	0.000473
2000	0.000718	0.000483	0.000832	0.003357	0.000656
