size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
30000	0.001074	0.000822	0.001201	0.005861	0.001341
40000	0.001218	0.001003	0.001346	0.006215	0.001450
50000	0.001411	0.001118	0.001499	0.006470	0.001622
60000	0.001563	0.001215	0.001708	0.007247	0.001804
70000	0.001738	0.001417	0.001806	0.007305	0.002049
80000	0.001868	0.001508	0.001902	0.007953	0.002080
90000	0.001979	0.001614	0.002079	0.007242	0.002158
100000	0.002162	0.001787	0.002187	0.007989	0.002316
