size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
2000	0.012754	0.085275	0.001682	0.007252	0.001139
3000	0.013150	0.092963	0.001747	0.007510	0.001067
4000	0.013023	0.090572	0.001728	0.008509	0.001230
5000	0.013711	0.096927	0.001748	0.008717	0.001445
6000	0.012771	0.099576	0.001753	0.008523	0.001393
7000	0.012617	0.098133	0.001790	0.008501	0.001277
8000	0.012959	0.099619	0.001762	0.009078	0.001363
9000	0.008814	0.104572	0.001800	0.009258	0.001308
10000	0.009538	0.104766	0.001809	0.009285	0.001407
15000	0.010191	0.105697	0.001838	0.010894	0.001542
20000	0.012950	0.113236	0.001894	0.010439	0.001631
25000	0.014296	0.112256	0.001986	0.011196	0.001639
30000	0.011875	0.111601	0.002042	0.011499	0.001996
