size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
100000	0.006732	0.005332	0.007530	0.010662	0.005392
1000000	0.021467	0.025162	0.023641	0.024794	0.025579
5000000	0.103594	0.110659	0.105224	0.120848	0.124383
10000000	0.212116	0.223385	0.207138	0.248485	0.253460
50000000	1.136160	1.150189	1.059637	1.271914	1.274079
100000000	2.431778	2.413732	2.168782	2.618926	2.616012
500000000	13.299479	12.636074	11.869688	13.746814	13.736817
1000000000	28.761044	26.532502	24.974392	28.811074	28.734524
