size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	serialMergeSort	tholderMergeSortIterative
1	0.000342	0.000000	0.000000	0.000000	0.000000	0.000000
5	0.000363	0.000362	0.001487	0.000694	0.000001	0.000398
10	0.000430	0.000334	0.002535	0.001889	0.000001	0.000647
50	0.000459	0.000320	0.002594	0.003948	0.000007	0.002943
100	0.000477	0.000275	0.003620	0.004663	0.000014	0.002908
250	0.000458	0.000347	0.001398	0.004958	0.000037	0.002267
500	0.000435	0.000387	0.003542	0.006762	0.000075	0.008106
750	0.000453	0.000397	0.002110	0.001867	0.000117	0.005676
1000	0.000468	0.000413	0.001570	0.001942	0.000159	0.004664
