size	serialMergeSort	serialMergeSortIterative
100000	0.008687	0.006350
1000000	0.098085	0.075133
5000000	0.534201	0.416732
10000000	1.145367	0.882226
50000000	6.274221	5.159862
100000000	13.638041	10.367892
500000000	73.131690	55.634793
1000000000	150.085660	115.462039
