size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
1000000	0.020580	0.154270	0.013227	0.028015	0.015143
2000000	0.034189	0.166805	0.026241	0.039572	0.030135
3000000	0.046732	0.184183	0.038699	0.052575	0.044483
4000000	0.062741	0.191644	0.049734	0.065017	0.059604
5000000	0.074114	0.203518	0.062598	0.082439	0.079416
6000000	0.087105	0.210483	0.075034	0.095043	0.089665
7000000	0.103745	0.223847	0.087896	0.109806	0.108687
8000000	0.117216	0.231781	0.099140	0.124911	0.122562
9000000	0.136167	0.268492	0.117039	0.151147	0.148835
10000000	0.144775	0.273085	0.129305	0.162799	0.163701
