size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
30000	0.000936	0.000648	0.000950	0.003253	0.001069
40000	0.001223	0.000852	0.001107	0.003483	0.001291
50000	0.001478	0.000997	0.001289	0.003722	0.001448
60000	0.001688	0.001157	0.001570	0.003778	0.001558
70000	0.001909	0.001383	0.001639	0.004085	0.001795
80000	0.002144	0.001525	0.001832	0.004243	0.001918
90000	0.002340	0.001683	0.001856	0.004440	0.001999
100000	0.002604	0.001786	0.002117	0.004600	0.002350
200000	0.004946	0.003339	0.004043	0.006200	0.003866
