size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	serialMergeSort	tholderMergeSortIterative
100	0.000480	0.000514	0.000888	0.006403	0.000014	0.001009
1000	0.000527	0.000560	0.000883	0.001942	0.000166	0.001282
10000	0.001022	0.000610	0.006188	0.002792	0.001885	0.008699
100000	0.003475	0.002705	0.009329	0.006940	0.021453	0.015143
1000000	0.036196	0.026008	0.033737	0.034399	0.240384	0.031200
10000000	0.410210	0.351802	0.319201	0.394404	2.723472	0.430943
