size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
30000	0.011937	0.116184	0.001927	0.010842	0.001435
40000	0.011011	0.121115	0.002091	0.011294	0.001829
50000	0.011506	0.122888	0.002193	0.011621	0.002307
60000	0.014249	0.122660	0.002400	0.013552	0.002067
70000	0.013946	0.130073	0.002541	0.013741	0.002455
80000	0.009180	0.125179	0.002571	0.013397	0.002312
90000	0.009776	0.128170	0.002717	0.013632	0.002761
100000	0.013941	0.127563	0.002820	0.014572	0.002903
