size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
30000	0.001050	0.000829	0.001234	0.006326	0.001334
40000	0.001248	0.001014	0.001375	0.006675	0.001537
50000	0.001410	0.001124	0.001542	0.006907	0.001650
60000	0.001579	0.001230	0.001550	0.007277	0.001857
70000	0.001703	0.001409	0.001817	0.007382	0.001952
80000	0.001855	0.001543	0.002023	0.007471	0.002080
90000	0.002008	0.001651	0.002070	0.007603	0.002214
100000	0.002176	0.001831	0.002104	0.007750	0.002419
200000	0.003737	0.003106	0.003548	0.008960	0.003736
