size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
30000	0.012817	0.115162	0.001966	0.011526	0.001957
40000	0.014376	0.121949	0.002174	0.012180	0.002039
50000	0.011209	0.125121	0.002220	0.013120	0.002338
60000	0.013943	0.123228	0.002364	0.013106	0.002209
70000	0.012325	0.131087	0.002393	0.013404	0.002075
80000	0.012532	0.130487	0.002553	0.013909	0.002834
90000	0.012411	0.130887	0.002741	0.014696	0.002571
100000	0.013323	0.130568	0.002842	0.014584	0.003014
200000	0.015394	0.138710	0.004092	0.016286	0.003989
