size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
100000	0.004941	0.003349	0.004291	0.006727	0.004398
1000000	0.028069	0.018857	0.018947	0.019989	0.023949
5000000	0.146099	0.104294	0.098248	0.116815	0.121563
10000000	0.307020	0.219237	0.201737	0.238653	0.248711
50000000	1.644421	1.148486	1.057159	1.233550	1.231735
100000000	3.395035	2.394054	2.180144	2.517104	2.542229
500000000	18.361399	12.709114	11.872670	13.424582	13.398664
1000000000	37.750892	27.071864	25.059180	28.348523	28.172321
