size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
50	0.000366	0.000263	0.000481	0.000772	0.000300
100	0.000324	0.000224	0.000460	0.000892	0.000338
150	0.000328	0.000226	0.000468	0.001009	0.000377
250	0.000331	0.000220	0.000437	0.001213	0.000400
500	0.000331	0.000233	0.000471	0.001338	0.000461
750	0.000336	0.000242	0.000475	0.001687	0.000526
1000	0.000337	0.000246	0.000487	0.001838	0.000484
1500	0.000340	0.000257	0.000461	0.001563	0.000397
2000	0.000345	0.000248	0.000435	0.001672	0.000462
