size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
1000000	0.017179	0.013723	0.014308	0.020045	0.015296
2000000	0.035213	0.027292	0.027879	0.035173	0.030660
3000000	0.052561	0.042130	0.044277	0.050820	0.047122
4000000	0.069305	0.054521	0.058560	0.064979	0.062133
5000000	0.087892	0.071755	0.074675	0.083414	0.080345
6000000	0.106946	0.082970	0.089805	0.096583	0.098235
7000000	0.124008	0.097262	0.100599	0.114142	0.116266
8000000	0.141204	0.108980	0.111043	0.126833	0.131475
9000000	0.162630	0.134118	0.132324	0.155175	0.157787
10000000	0.181486	0.150916	0.145154	0.171863	0.176250
