size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
100000	0.006817	0.008723	0.008911	0.010230	0.006409
1000000	0.023434	0.025735	0.024300	0.032093	0.027805
5000000	0.107791	0.112044	0.108532	0.132821	0.134280
10000000	0.213644	0.226380	0.207369	0.264339	0.272791
50000000	1.084686	1.164587	1.052348	1.338270	1.329680
100000000	2.246949	2.508034	2.170314	2.711144	2.702140
500000000	12.309436	12.574773	11.917096	14.326677	14.261030
1000000000	26.232778	26.325989	25.216354	29.981976	29.982909
