size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
1	0.000411	0.000000	0.000000	0.000000	0.000000
3	0.000476	0.000405	0.000163	0.000131	0.000105
5	0.000520	0.000415	0.000291	0.000162	0.000126
7	0.000604	0.000441	0.000412	0.000167	0.000116
10	0.000649	0.000432	0.000545	0.000303	0.000166
15	0.000672	0.000430	0.000794	0.000403	0.000204
20	0.000659	0.000434	0.000818	0.000628	0.000278
25	0.000664	0.000439	0.000859	0.000702	0.000262
30	0.000654	0.000424	0.000812	0.000744	0.000295
