size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	serialMergeSort	serialMergeSortIterative	tholderMergeSortIterative
1	0.000141	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	0.000192	0.000146	0.000181	0.000104	0.000000	0.000000	0.000074
5	0.000222	0.000147	0.000292	0.000143	0.000000	0.000000	0.000125
7	0.000239	0.000149	0.000393	0.000174	0.000001	0.000000	0.000131
10	0.000257	0.000152	0.000411	0.000279	0.000001	0.000000	0.000156
15	0.000242	0.000149	0.000422	0.000323	0.000001	0.000001	0.000200
20	0.000242	0.000151	0.000423	0.000384	0.000001	0.000001	0.000218
25	0.000244	0.000153	0.000420	0.000432	0.000002	0.000001	0.000206
30	0.000244	0.000152	0.000425	0.000469	0.000002	0.000001	0.000225
