size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
50	0.022801	0.049393	0.001865	0.001474	0.000489
100	0.014062	0.055518	0.001707	0.002388	0.001104
150	0.014187	0.063244	0.001685	0.002819	0.000638
250	0.015354	0.063116	0.001670	0.004152	0.000671
500	0.014568	0.069762	0.001712	0.004643	0.001773
750	0.016434	0.077617	0.001748	0.005656	0.001814
1000	0.015972	0.078626	0.001712	0.006432	0.000953
1500	0.013992	0.087999	0.001734	0.005664	0.000590
2000	0.022907	0.089496	0.001709	0.006299	0.001092
