size	serialMergeSort	serialMergeSortIterative
1000000	0.098576	0.075302
2000000	0.203340	0.158180
3000000	0.312272	0.240517
4000000	0.421965	0.332159
5000000	0.534423	0.416262
6000000	0.646223	0.505990
7000000	0.764248	0.605840
8000000	0.876440	0.686229
9000000	1.024538	0.786829
10000000	1.145303	0.884002
