size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
30000	0.000933	0.000648	0.000877	0.003018	0.001044
40000	0.001214	0.000837	0.001120	0.003377	0.001350
50000	0.001445	0.001014	0.001298	0.003544	0.001504
60000	0.001644	0.001170	0.001611	0.003775	0.001551
70000	0.001960	0.001387	0.001872	0.004060	0.001815
80000	0.002152	0.001513	0.001778	0.004268	0.001939
90000	0.002387	0.001635	0.002018	0.004378	0.002106
100000	0.002650	0.001792	0.002164	0.004559	0.002201
