size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
100	0.000794	0.000616	0.000911	0.007419	0.002692
1000	0.000728	0.000763	0.000895	0.002782	0.001308
10000	0.000813	0.000548	0.009633	0.002796	0.009396
100000	0.003583	0.002601	0.013995	0.006811	0.004816
1000000	0.043792	0.027452	0.042351	0.041459	0.031351
10000000	0.409938	0.353215	0.323274	0.383355	0.385837
