size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
1	0.000197	0.000000	0.000000	0.000000	0.000000
3	0.000257	0.000203	0.000186	0.000133	0.000096
5	0.000294	0.000203	0.000294	0.000146	0.000127
7	0.000319	0.000204	0.000407	0.000167	0.000117
10	0.000323	0.000225	0.000404	0.000311	0.000173
15	0.000316	0.000214	0.000420	0.000412	0.000211
20	0.000321	0.000205	0.000422	0.000541	0.000261
25	0.000320	0.000216	0.000462	0.000646	0.000222
30	0.000317	0.000207	0.000422	0.000544	0.000279
