array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
70000,openmpMergeSortIterative,32,1,1048576,130072534.5
70000,parallelMergeSortIterative,8,1,1048576,4060138.0
70000,parallelMergeSortIterative,16,1,1048576,7304802.3
70000,parallelMergeSortIterative,32,1,1048576,13740862.8
70000,tholderMergeSortIterative,8,1,1048576,1815410.5
70000,tholderMergeSortIterative,16,1,1048576,2048523.4
70000,tholderMergeSortIterative,32,1,1048576,2455265.4
70000,serialMergeSortIterative,1,0,0,4317391.7
80000,serialMergeSort,1,0,0,6801465.8
80000,parallelMergeSort,8,1,1048576,1777972.0
80000,parallelMergeSort,16,1,1048576,1901566.8
80000,parallelMergeSort,32,1,1048576,2571126.2
80000,openmpMergeSort,8,1,1048576,2151822.1
80000,openmpMergeSort,16,1,1048576,1867669.2
80000,openmpMergeSort,32,1,1048576,9180371.4
80000,openmpMergeSortIterative,8,1,1048576,1512893.0
80000,openmpMergeSortIterative,16,1,1048576,1508162.8
80000,openmpMergeSortIterative,32,1,1048576,125179380.8
80000,parallelMergeSortIterative,8,1,1048576,4267980.8
80000,parallelMergeSortIterative,16,1,1048576,7953210.4
80000,parallelMergeSortIterative,32,1,1048576,13396545.3
80000,tholderMergeSortIterative,8,1,1048576,1938894.5
80000,tholderMergeSortIterative,16,1,1048576,2079545.6
80000,tholderMergeSortIterative,32,1,1048576,2312202.6
80000,serialMergeSortIterative,1,0,0,4968166.9
90000,serialMergeSort,1,0,0,7693598.6
90000,parallelMergeSort,8,1,1048576,2018497.6
90000,parallelMergeSort,16,1,1048576,2078711.1
90000,parallelMergeSort,32,1,1048576,2716908.0
90000,openmpMergeSort,8,1,1048576,2386669.0
90000,openmpMergeSort,16,1,1048576,1978567.3
90000,openmpMergeSort,32,1,1048576,9775969.5
90000,openmpMergeSortIterative,8,1,1048576,1634721.6
90000,openmpMergeSortIterative,16,1,1048576,1614406.1
90000,openmpMergeSortIterative,32,1,1048576,128170370.7
90000,parallelMergeSortIterative,8,1,1048576,4377508.3
90000,parallelMergeSortIterative,16,1,1048576,7242488.5
90000,parallelMergeSortIterative,32,1,1048576,13631935.5
90000,tholderMergeSortIterative,8,1,1048576,2106134.8
90000,tholderMergeSortIterative,16,1,1048576,2157940.4
90000,tholderMergeSortIterative,32,1,1048576,2760721.5
90000,serialMergeSortIterative,1,0,0,5631585.0
100000,serialMergeSort,1,0,0,8634490.3
100000,parallelMergeSort,8,1,1048576,2164248.4
100000,parallelMergeSort,16,1,1048576,2187263.0
100000,parallelMergeSort,32,1,1048576,2819712.9
100000,openmpMergeSort,8,1,1048576,2650175.9
100000,openmpMergeSort,16,1,1048576,2162134.4
100000,openmpMergeSort,32,1,1048576,13940733.8
100000,openmpMergeSortIterative,8,1,1048576,1792014.3
100000,openmpMergeSortIterative,16,1,1048576,1786910.6
100000,openmpMergeSortIterative,32,1,1048576,127563287.3
100000,parallelMergeSortIterative,8,1,1048576,4559307.4
100000,parallelMergeSortIterative,16,1,1048576,7989275.4
100000,parallelMergeSortIterative,32,1,1048576,14572464.7
100000,tholderMergeSortIterative,8,1,1048576,2200692.6
